id_jugador,id_club
55605,36
55619,141
55619,383
55666,3631
55735,11
55735,12
55735,16
55735,46
55735,985
55742,703
55742,931
55742,989
55895,5
55895,209
55895,2407
56046,124
56046,720
56066,209
56066,294
56066,1049
56331,24
56331,82
56331,336
56331,2282
56371,234
56371,2282
56416,141
56416,383
56416,6195
56518,449
56523,234
56587,141
56601,234
56809,1082
56810,162
56810,336
56818,29
56818,417
56818,985
56903,410
56903,2497
57051,27
57071,31
57071,23826
57079,29
57079,281
57162,141
57162,379
57162,1049
57207,873
57229,131
57229,148
57229,199
57280,5
57280,430
57280,800
57370,273
57370,1041
57403,150
57403,244
57403,273
57403,3709
57480,12
57480,762
57480,1041
57500,13
57500,244
57500,331
57500,368
57500,631
57515,31
57515,405
57515,683
57515,720
57515,1041
57515,1049
57522,331
57522,720
57522,1050
57522,3368
57834,294
57834,720
57995,82
58001,367
58001,371
58001,1049
58001,3709
58088,141
58088,398
58115,367
58115,940
58115,1049
58205,15
58205,16
58205,82
58205,631
58205,931
58358,27
58361,148
58453,23826
58489,15
58489,683
58489,23826
58500,40058
58516,16
58516,210
58516,1023
58818,940
58818,1041
58864,5
58864,11
58864,16
58864,131
58864,162
58864,244
58864,631
58864,1082
58884,418
58949,368
59016,27
59016,418
59027,16
59027,60
59082,24
59145,234
59238,16
59238,82
59248,150
59248,336
59248,720
59248,1041
59248,1075
59323,714
59323,3368
59323,12321
59335,13
59335,2497
59340,12
59340,148
59340,367
59340,416
59340,506
59340,1050
59344,418
59344,681
59377,13
59377,430
59377,985
59558,237
59558,681
59561,418
59561,1049
59561,1050
59561,3709
59594,234
59596,189
59596,209
59596,234
59597,1041
59631,58
59631,148
59631,162
59866,31
59866,36
59866,46
59866,379
59866,631
59866,873
60410,209
60410,336
60410,368
60444,27
60444,31
60444,131
60445,131
60445,1050
60445,1061
60445,3631
60540,162
60540,244
60540,417
60542,12
60542,368
60542,1041
60551,1041
60561,995
60561,1041
60570,162
60570,265
60570,931
60573,46
60573,273
60573,683
60577,162
60577,244
60577,416
60577,1041
60591,162
60591,543
60603,273
60793,124
60799,336
60799,1075
60889,46
60889,189
60889,368
60889,1025
61087,15
61253,418
61253,430
61253,714
61253,6195
61511,6195
61546,189
61546,331
61546,430
61546,714
61546,940
61546,1049
61561,399
61561,405
61561,873
61573,405
61644,703
61644,762
61651,31
61651,610
61651,1148
61694,931
61743,336
61812,583
61812,621
61812,681
61841,148
61841,399
61841,989
61842,29
61842,148
61842,399
61842,762
61842,873
61887,265
61887,703
61887,985
61892,985
61892,1041
62049,985
62094,124
62094,762
62121,410
